Parameter,Parameter Code,Method Code,Recording Mode,Collection Description,Analysis Description,Units,Method Type,Reference Method ID,Equivalent Method,Federal MDL,Min Value,Max Value,Digits,Round Truncate Indicator
Acceptable PM2.5 AQI & Speciation Mass,88502,143,Intermittent,R & P Model 2000 PM-2.5 Air Sampler w/VSCC,Gravimetric,Micrograms/cubic meter (LC),FEM,EQPM-0202-143 or RFPS-0498-117,R & P Model 2000 Air Sampler with BGI VSCC,2.0,,5000.0,1,T
Acceptable PM2.5 AQI & Speciation Mass,88502,184,Continuous,Thermo Scientific Model 5030 SHARP w/VSCC,Beta Attenuation,Micrograms/cubic meter (LC),FEM,EQPM-0609-184,Thermo Scientific Model 5030 SHARP w/VSCC,5.0,-10.0,5000.0,1,T
Acceptable PM2.5 AQI & Speciation Mass,88502,195,Continuous,GRIMM EDM Model 180 with naphion dryer,Laser Light Scattering,Micrograms/cubic meter (LC),FEM,EQPM-0311-195,GRIMM EDM Model 180 for FEM,0.1,0.0,1500.0,1,T
Acceptable PM2.5 AQI & Speciation Mass,88502,203,Continuous,Opsis SM200-Dust Monitor w/VSCC,Beta Attenuation,Micrograms/cubic meter (LC),FEM,EQPM-0812-203,Opsis SM200-Dust Monitor VSCC FEM,2.0,-10.0,1000.0,1,T
Acceptable PM2.5 AQI & Speciation Mass,88502,204,Continuous,Teledyne Model 602 Beta plus w/VSCC,Beta Attenuation,Micrograms/cubic meter (LC),FEM,EQPM-0912-204,Teledyne Model 602 Beta plus VSCC FEM,2.0,-10.0,1500.0,1,T
Acceptable PM2.5 AQI & Speciation Mass,88502,236,Continuous,Teledyne T640 at 5.0 LPM,Broadband spectroscopy,Micrograms/cubic meter (LC),FEM,EQPM-0516-236,T-API T640 at 5.0 LPM,0.1,0.0,10000.0,1,T
Acceptable PM2.5 AQI & Speciation Mass,88502,238,Continuous,Teledyne T640X at 16.67 LPM,Broadband spectroscopy,Micrograms/cubic meter (LC),FEM,EQPM-0516-238,T-API T640X at 16.67 LPM,0.1,0.0,10000.0,1,T
Acceptable PM2.5 AQI & Speciation Mass,88502,636,Continuous,Teledyne T640 at 5.0 LPM w/Network Data Alignment enabled,Broadband spectroscopy,Micrograms/cubic meter (LC),FEM,EQPM-0516-236,T-API T640 at 5.0 LPM w/Network Data Alignment enabled,1.0,0.0,10000.0,1,T
Acceptable PM2.5 AQI & Speciation Mass,88502,638,Continuous,Teledyne T640X at 16.67 LPM w/Network Data Alignment enabled,Broadband spectroscopy,Micrograms/cubic meter (LC),FEM,EQPM-0516-238,T-API T640X at 16.67 LPM w/Network Data Alignment enabled,1.0,0.0,10000.0,1,T
Ammonia,42604,121,Continuous,INSTRUMENTAL,CHEMILUMINESCENCE,Parts per million,FRM,RFNA-0798-121,DDK CORP MODEL GLN-114E,0.005,-0.005,,3,R
Average Ambient Pressure,68108,170,Continuous,Met One BAM-1020 Mass Monitor,Barometric Sensor,Millimeters (mercury),FEM,EQPM-0308-170,Met One BAM-1020 PM2.5 FEM,2.0,-10.0,1000.0,1,R
Average Ambient Temperature,68105,170,Continuous,Met One BAM-1020 Mass Monitor,Electronic,Degrees Centigrade,FEM,EQPM-0308-170,Met One BAM-1020 PM2.5 FEM,2.0,-10.0,1000.0,1,R
Average Ambient Temperature,68105,545,Intermittent,Met One E-SEQ-FRM with VSCC,Electronic,Degrees Centigrade,FRM,RFPS-0717-245,Met One E-SEQ-FRM PM2.5 with VSCC,-40.0,-40.0,55.0,1,R
Carbon monoxide,42101,008,Continuous,INSTRUMENTAL,NONDISPERSIVE INFRARED,Parts per million,FRM,RFCA-0276-008,BENDIX 8501-5CA,0.5,-0.4,50.0,1,R
Carbon monoxide,42101,012,Continuous,INSTRUMENTAL,NONDISPERSIVE INFRARED,Parts per million,FRM,RFCA-0876-012,BECKMAN 866,0.5,-0.4,50.0,1,R
Carbon monoxide,42101,018,Continuous,INSTRUMENTAL,NONDISPERSIVE INFRARED,Parts per million,FRM,RFCA-0177-018,MSA  202S,0.5,-0.4,50.0,1,R
Carbon monoxide,42101,033,Continuous,INSTRUMENTAL,NONDISPERSIVE INFRARED,Parts per million,FRM,RFCA-1278-033,HORIBA AQM-10--11--12,0.5,-0.4,50.0,1,R
Carbon monoxide,42101,041,Continuous,INSTRUMENTAL,NONDISPERSIVE INFRARED,Parts per million,FRM,RFCA-0979-041,MONITOR LABS 8310,0.5,-0.4,50.0,1,R
Carbon monoxide,42101,048,Continuous,INSTRUMENTAL,NONDISPERSIVE INFRARED,Parts per million,FRM,RFCA-1180-048,HORIBA 300E/300SE,0.5,-0.4,50.0,1,R
Carbon monoxide,42101,050,Continuous,INSTRUMENTAL,NONDISPERSIVE INFRARED,Parts per million,FRM,RFCA-1280-050,MASS-CO 1 (MASSACHUSETTS),0.5,-0.4,50.0,1,R
Carbon monoxide,42101,051,Continuous,INSTRUMENTAL,NONDISPERSIVE INFRARED,Parts per million,FRM,RFCA-0381-051,DASIBI 3003,0.5,-0.4,50.0,1,R
Carbon monoxide,42101,054,Continuous,INSTRUMENTAL,NONDISPERSIVE INFRARED,Parts per million,FRM,RFCA-0981-054,"THERMO ELECTRON 48, 48C, 48i",0.5,-0.4,50.0,1,R
Carbon monoxide,42101,066,Continuous,INSTRUMENTAL,NONDISPERSIVE INFRARED,Parts per million,FRM,RFCA-0388-066,MONITOR LABS 8830,0.5,-0.4,50.0,1,R
Carbon monoxide,42101,067,Continuous,INSTRUMENTAL,NONDISPERSIVE INFRARED,Parts per million,FRM,RFCA-0488-067,DASIBI 3008,0.5,-0.4,50.0,1,R
Carbon monoxide,42101,088,Continuous,INSTRUMENTAL,NONDISPERSIVE INFRARED PHOTOMETRY,Parts per million,FRM,RFCA-0992-088,LEAR SIEGLER MODEL ML 9830,0.5,-0.4,50.0,1,R
Carbon monoxide,42101,093,Continuous,INSTRUMENTAL,GAS FILTER CORRELATION CO ANALYZER,Parts per million,FRM,RFCA-1093-093,API MODEL 300 GAS FILTER,0.5,-0.4,50.0,1,R
Carbon monoxide,42101,106,Continuous,INSTRUMENTAL,NONDISPERSIVE INFRARED PHOTOMETRY,Parts per million,FRM,RFCA-0895-106,HORIBA INSTR. MODEL APMA-360,0.5,-0.4,50.0,1,R
Carbon monoxide,42101,108,Continuous,INSTRUMENTAL,ENVIORNMENT SA MODEL CO11M,Parts per million,FRM,RFCA-0995-108,ENVIRONMENT SA MODEL CO11M,0.5,-0.4,50.0,1,R
Carbon monoxide,42101,147,Continuous,INSTRUMENTAL,NONDISPERSIVE INFRARED PHOTOMETRY,Parts per million,FRM,RFCA-0206-147,Environnement S.A. Model CO12M Co Analyzer,0.5,-0.4,50.0,1,R
Carbon monoxide,42101,158,Continuous,INSTRUMENTAL,NONDISPERSIVE INFRARED PHOTOMETRY,Parts per million,FRM,RFCA-0506-158,HORIBA INSTR. MODEL APMA-370,0.5,-0.4,50.0,1,R
Carbon monoxide,42101,167,Continuous,Instrumental,Nondispersive Infrered Photometry,Parts per million,FRM,RFCA-0907-167,DKK-TOA Cork Mode GFC-311E,0.5,-0.4,50.0,1,R
Carbon monoxide,42101,172,Continuous,Instrumental,Nondispersive Infrered Photometry,Parts per million,FRM,RFCA-0708-172,SIR S.A. Model S-5006,0.5,-0.4,50.0,1,R
Carbon monoxide,42101,174,Continuous,Instrumental,Nondispersive Infrered Photometry,Parts per million,FRM,RFCA-0509-174,Ecotech Serinus 30,0.5,-0.4,50.0,1,R
Carbon monoxide,42101,548,Continuous,INSTRUMENTAL,Nondispersive infrared/gas correlation,Parts per million,FRM,RFCA-0817-248,Sutron or Sabio 6050T,0.02,-0.4,50.0,3,R
Carbon monoxide,42101,554,Continuous,INSTRUMENTAL,Gas Filter Correlation Thermo Electron 48i-TLE,Parts per million,FRM,RFCA-0981-054,Thermo 48i TLE,0.04,-0.4,50.0,3,R
Carbon monoxide,42101,588,Continuous,INSTRUMENTAL,Gas Filter Correlation Ecotech EC9830T,Parts per million,FRM,RFCA-0992-088,Ecotech EC9830T,0.02,-0.4,50.0,3,R
Carbon monoxide,42101,593,Continuous,INSTRUMENTAL,Gas Filter Correlation Teledyne API 300 EU / T300U,Parts per million,FRM,RFCA-1093-093,API Model 300 EU,0.02,-0.4,50.0,3,R
Carbon monoxide,42101,594,Continuous,INSTRUMENTAL,Nondispersive Infrared Photometry,Parts per million,FRM,RFCA-1093-093,API Model 300 EU,0.02,-0.4,50.0,3,R
Lead (TSP) LC,14129,043,Intermittent,Hi-Vol,Atomic Absorption (AA) Alt. Extr; 1.03M HNO3/2.23MHCl sonicate 50 min. at 100C,Micrograms/cubic meter (LC),FEM,EQL-0380-043,Pb-TSP/AA (Alt. Extr),0.02,0.0,100.0,3,T
Lead (TSP) LC,14129,044,Intermittent,Hi-Vol,"Flameless Atomic absorption (GFAA) EPA; 3 extraction options: (a) 2.6M HNO3 sonicate 30 min no heat, (b) 2.6M HNO3/.9MHC",Micrograms/cubic meter (LC),FEM,EQL-0380-044,Pb-TSP/FLAMELESS-AA (EPA),0.002,0.0,100.0,3,T
Lead (TSP) LC,14129,045,Intermittent,Hi-Vol,Emission Spectra ICAP (ICP-OES) EPA 1.03M HNO3/2.23M HCl sonicate 50 min at 100C,Micrograms/cubic meter (LC),FEM,EQL-0380-045,Pb-TSP/ICAP SPECTRA (EPA),0.0045,0.0,100.0,3,T
Lead (TSP) LC,14129,052,Intermittent,HI-VOL,X-RAY FLUORESCENCE,Micrograms/cubic meter (LC),FEM,EQL-0581-052,WAVE LENGTH DISP XRF,0.02,0.0,100.0,3,T
Lead (TSP) LC,14129,057,Intermittent,HI-VOL,EMISSION SPECTRA ICAP,Micrograms/cubic meter (LC),FEM,EQL-0483-057,ICAP SPECTRA (MONTANA),0.02,0.0,100.0,3,T
Lead (TSP) LC,14129,058,Intermittent,HI-VOL,X-RAY FLUORESCENCE,Micrograms/cubic meter (LC),FEM,EQL-0783-058,ENERGY-DISP XRF,0.03,0.0,100.0,3,T
Lead (TSP) LC,14129,059,Intermittent,HI-VOL,FLAMELESS ATOMIC ABSORPTION (GFAA),Micrograms/cubic meter (LC),FEM,EQL-0785-059,Pb-TSP/FLAMELESS AA,0.0078,0.0,100.0,3,T
Lead (TSP) LC,14129,068,Intermittent,HI-VOL,EMISSION SPECTRA ICAP,Micrograms/cubic meter (LC),FEM,EQL-0888-068,ICAP SPECTRA (RHODE ISLAND),0.06,0.0,100.0,3,T
Lead (TSP) LC,14129,069,Intermittent,HI-VOL,EMISSION SPECTRA ICAP,Micrograms/cubic meter (LC),FEM,EQL-1188-069,ICAP SPECTRA (NE & T),0.01,0.0,100.0,3,T
Lead (TSP) LC,14129,070,Intermittent,HI-VOL,EMISSION SPECTRA ICAP,Micrograms/cubic meter (LC),FEM,EQL-1288-070,ICAP SPECTRA (S.V.LABS),0.01,0.0,100.0,3,T
Lead (TSP) LC,14129,072,Intermittent,HI-VOL,X-RAY FLUORESCENCE (EDXRF),Micrograms/cubic meter (LC),FEM,EQL-0589-072,Pb-TSP/ENERGY-DISP XREF,0.07,0.0,100.0,3,T
Lead (TSP) LC,14129,080,Intermittent,HI-VOL,EMISSION SPECTRA ICAP,Micrograms/cubic meter (LC),FEM,EQL-1290-080,ICAP SPECTRA (NEW HAMPSHIRE),0.01,0.0,100.0,3,T
Lead (TSP) LC,14129,085,Intermittent,Hi-Vol,Emission Spectra ICAP (ICP-OES) No extr info,Micrograms/cubic meter (LC),FEM,EQL-0592-085,Pb-TSP/ICAP SPECTRA (EPA),0.01,0.0,100.0,3,T
Lead (TSP) LC,14129,086,Intermittent,Hi-Vol,Emission Spectra ICAP (ICP-OES); 1.03MHNO3/2.23MHCl sonicate 50 min at100C,Micrograms/cubic meter (LC),FEM,EQL-0592-086,Pb-TSP/ICAP SPECTRA (EPA),0.0036,0.0,100.0,3,T
Lead (TSP) LC,14129,094,Intermittent,HI-VOL,EMISSION SPECTRA ICAP,Micrograms/cubic meter (LC),FEM,EQL-1193-094,HI-VOL/ICAP SPECT. (ILLINOIS),0.01,0.0,100.0,3,T
Lead (TSP) LC,14129,096,Intermittent,HI-VOL,EMISSION SPECTRA ICAP,Micrograms/cubic meter (LC),FEM,EQL-0694-096,HI-VOL ICAP SPECT (WV),0.002,0.0,100.0,3,T
Lead (TSP) LC,14129,107,Intermittent,Hi-Vol,Flameless Atomic absorption (GFAA); 3M HNO3 Boil 30 min,Micrograms/cubic meter (LC),FEM,EQL-0895-107,PB-TSP/FLAMELESS AA,0.0075,0.0,100.0,3,T
Lead (TSP) LC,14129,109,Intermittent,HI-VOL,ICAP SPECTRA,Micrograms/cubic meter (LC),FEM,EQL-0995-109,HI-VOL/ICAP SPECT.,0.01,0.0,100.0,3,T
Lead (TSP) LC,14129,110,Intermittent,Hi-Vol,ICAP SPECTRA (ICP-MS); 0.45M HNO3 Boil30 min,Micrograms/cubic meter (LC),FEM,EQL-0995-110,Pb-TSP/ICAP SPECTRA (ICP-MS),0.0075,0.0,100.0,3,T
Lead (TSP) LC,14129,113,Intermittent,Hi-Vol,Emission Spectra ICAP (ICP-OES); 3M HNO3 Boil 30 min,Micrograms/cubic meter (LC),FEM,EQL-0196-113,Pb-TSP/ICAP SPECTRA (ICP-OES),0.0075,0.0,100.0,3,T
Lead (TSP) LC,14129,140,Intermittent,Hi-Vol,Emission Spectra ICAP (ICP-AES); 6:3:1 DI water:HCl:HNO3 microwave 95C; add DI water sonicate 30 min; sit overnight,Micrograms/cubic meter (LC),FEM,EQL-0400-140,Pb-TSP/ICAP SPECTRA (ICP-AES),0.0075,0.0,100.0,3,T
Lead (TSP) LC,14129,189,Intermittent,Hi-Vol,ICP-MS  Extracted on a hot plate with 3M HNO3 according to refrn methd.  SW-846 Meth 6020A,Micrograms/cubic meter (LC),FEM,EQL-0310-189,Pb-TSP/ICAP SPECTRA (ICP-MS),0.0075,0.0,100.0,3,T
Lead (TSP) LC,14129,191,Intermittent,Hi-Vol,Inductively Coupled Plasma-Mass Spectrometry Acid filter extraction with nitric and hydrochloric acid,Micrograms/cubic meter (LC),FEM,EQL-0510-191,Pb-TSP/ICP SPECTRA (ICP-MS),2e-05,0.0,100.0,3,T
Lead (TSP) LC,14129,192,Intermittent,Hi-Vol,Inductively Coupled Plasma-Mass Spectrometry Acid filter extract with hot nitric acid,Micrograms/cubic meter (LC),FEM,EQL-0710-192,Pb-TSP/ICP SPECTRA (ICP-MS),0.0075,0.0,100.0,3,T
Lead (TSP) LC,14129,193,Intermittent,Hi-Vol,ICP-MS,Micrograms/cubic meter (LC),FEM,EQL-0512-201,ICP-MS (ERG),0.0075,0.0,100.0,3,T
Lead (TSP) LC,14129,196,Intermittent,HI-VOL,HEATED ULTRASONIC HNO3/HCL EXTRACTION WITH ICP-AES,Micrograms/cubic meter (LC),FEM,EQL-0311-196,,0.0075,0.0,100.0,3,T
Lead (TSP) LC,14129,213,Intermittent,HI-VOL,ICP-MS Time of Flight (TOF),Micrograms/cubic meter (LC),FEM,EQL-0514-213,ICP-MS Time of Flight (TOF) SCAQMD,0.0075,0.0,100.0,3,T
Lead (TSP) LC,14129,261,Intermittent,HI-VOL,Microwave Assisted Digestion Quadrapole ICP-MS (SCAQMD),Micrograms/cubic meter (LC),FEM,EQL-0723-261,Quadrapole ICP-MS (SCAQMD),0.0075,0.0,100.0,3,T
Lead (TSP) LC,14129,803,Intermittent,Hi-Vol,Atomic Absorption (AA); 2.6M HNO3/0.9M HCl or 0.45 HNO3 Boil 30 min,Micrograms/cubic meter (LC),FEM,EQLA-813-803,Pb-TSP/AA (FRM),0.0075,-0.0075,100.0,3,T
